date,evening_peak_demand_nr_mw,evening_peak_demand_wr_mw,evening_peak_demand_sr_mw,evening_peak_demand_er_mw,evening_peak_demand_ner_mw,evening_peak_demand_total_mw,peak_shortage_nr_mw,peak_shortage_wr_mw,peak_shortage_sr_mw,peak_shortage_er_mw,peak_shortage_ner_mw,peak_shortage_total_mw,energy_met_nr_mu,energy_met_wr_mu,energy_met_sr_mu,energy_met_er_mu,energy_met_ner_mu,energy_met_total_mu,hydro_gen_nr_mu,hydro_gen_wr_mu,hydro_gen_sr_mu,hydro_gen_er_mu,hydro_gen_ner_mu,hydro_gen_total_mu,wind_gen_nr_mu,wind_gen_wr_mu,wind_gen_sr_mu,wind_gen_er_mu,wind_gen_ner_mu,wind_gen_total_mu,solar_gen_nr_mu,solar_gen_wr_mu,solar_gen_sr_mu,solar_gen_er_mu,solar_gen_ner_mu,solar_gen_total_mu,energy_shortage_nr_mu,energy_shortage_wr_mu,energy_shortage_sr_mu,energy_shortage_er_mu,energy_shortage_ner_mu,energy_shortage_total_mu,max_demand_met_nr_mw,max_demand_met_wr_mw,max_demand_met_sr_mw,max_demand_met_er_mw,max_demand_met_ner_mw,max_demand_met_total_mw,freq_fvi,freq_pct_below_497,freq_pct_497_498,freq_pct_498_499,freq_pct_below_499,freq_pct_499_5005,freq_pct_above_5005,gen_coal_mu,gen_lignite_mu,gen_hydro_mu,gen_nuclear_mu,gen_gas_mu,gen_res_mu,gen_total_mu,share_res_pct,share_nonfossil_pct,outage_central_nr_mw,outage_central_wr_mw,outage_central_sr_mw,outage_central_er_mw,outage_central_ner_mw,outage_central_total_mw,outage_state_nr_mw,outage_state_wr_mw,outage_state_sr_mw,outage_state_er_mw,outage_state_ner_mw,outage_state_total_mw,outage_total_nr_mw,outage_total_wr_mw,outage_total_sr_mw,outage_total_er_mw,outage_total_ner_mw,outage_total_total_mw,ie_schedule_nr_mu,ie_schedule_wr_mu,ie_schedule_sr_mu,ie_schedule_er_mu,ie_schedule_ner_mu,ie_schedule_total_mu,ie_actual_nr_mu,ie_actual_wr_mu,ie_actual_sr_mu,ie_actual_er_mu,ie_actual_ner_mu,ie_actual_total_mu,ie_odud_nr_mu,ie_odud_wr_mu,ie_odud_sr_mu,ie_odud_er_mu,ie_odud_ner_mu,ie_odud_total_mu,trans_bhutan_mu,trans_nepal_mu,trans_bangladesh_mu,diversity_regional,diversity_state,ir_er_nr_import_mu,ir_er_nr_export_mu,ir_er_nr_net_mu,ir_er_wr_import_mu,ir_er_wr_export_mu,ir_er_wr_net_mu,ir_er_sr_import_mu,ir_er_sr_export_mu,ir_er_sr_net_mu,ir_er_ner_import_mu,ir_er_ner_export_mu,ir_er_ner_net_mu,ir_ner_nr_import_mu,ir_ner_nr_export_mu,ir_ner_nr_net_mu,ir_wr_nr_import_mu,ir_wr_nr_export_mu,ir_wr_nr_net_mu,ir_wr_sr_import_mu,ir_wr_sr_export_mu,ir_wr_sr_net_mu,trans_godda_bangladesh_mu,solar_hr_peak_mw,solar_hr_shortage_mw,nonsolar_hr_peak_mw,nonsolar_hr_shortage_mw,xb_export_bhutan_mu,xb_export_nepal_mu,xb_export_bangladesh_mu,xb_export_myanmar_mu,xb_import_bhutan_mu,xb_import_nepal_mu,xb_import_bangladesh_mu,xb_import_myanmar_mu,xb_net_bhutan_mu,xb_net_nepal_mu,xb_net_bangladesh_mu,xb_net_myanmar_mu
2018-12-31,45890.0,46715.0,41005.0,18304.0,2396.0,154310.0,727.0,0.0,0.0,0.0,51.0,778.0,955.0,1083.0,901.0,351.0,43.0,3332.0,117.0,28.0,71.0,30.0,8.0,254.0,9.0,38.0,46.0,,,93.0,23.32,21.79,69.14,0.83,0.05,115.0,14.7,0.0,0.0,0.0,0.2,14.9,46417.0,54827.0,42990.0,18594.0,2398.0,160028.0,0.04,0.0,0.0,8.68,8.68,76.26,15.06,2587.0,92.0,254.0,80.0,125.0,273.0,3411.0,8.0,17.79,4793.0,16861.0,7262.0,1720.0,306.0,30941.0,9585.0,13809.0,9060.0,5205.0,50.0,37709.0,14378.0,30670.0,16322.0,6925.0,356.0,68650.0,151.5,-177.1,101.5,-78.6,3.2,0.5,143.9,-181.5,99.0,-68.9,3.9,-3.7,-7.6,-4.5,-2.5,9.7,0.7,-4.2,1.7,-7.0,-12.3,1.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,45737.0,45720.0,38540.0,17423.0,2314.0,149734.0,609.0,0.0,0.0,167.0,11.0,787.0,959.0,1073.0,878.0,346.0,42.0,3298.0,117.0,33.0,62.0,22.0,7.0,241.0,11.0,23.0,50.0,,,83.0,21.5,19.78,73.77,1.19,0.02,116.0,13.8,0.3,0.0,0.5,0.2,14.9,46332.0,53704.0,42567.0,17716.0,2325.0,158835.0,0.059,0.06,2.65,7.27,9.98,71.71,18.31,2581.0,90.0,241.0,75.0,122.0,266.0,3376.0,7.89,17.26,4624.0,16846.0,7462.0,1370.0,356.0,30658.0,9335.0,13504.0,9710.0,4815.0,50.0,37414.0,13959.0,30350.0,17172.0,6185.0,406.0,68071.0,155.0,-195.9,109.3,-73.1,4.4,-0.3,156.8,-199.5,102.9,-65.4,4.4,-0.7,1.9,-3.6,-6.4,7.7,0.0,-0.4,1.4,-6.8,-14.4,1.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,45781.0,47429.0,41507.0,17744.0,2427.0,154888.0,704.0,0.0,0.0,250.0,30.0,984.0,945.0,1092.0,896.0,345.0,42.0,3320.0,112.0,32.0,65.0,31.0,8.0,247.0,7.0,19.0,55.0,,,81.0,19.55,20.09,74.82,0.84,0.04,115.0,16.7,0.0,0.0,0.8,0.3,17.8,46338.0,53744.0,42764.0,18221.0,2474.0,157256.0,0.05,0.0,0.21,15.63,15.83,78.46,5.71,2611.0,94.0,247.0,76.0,124.0,261.0,3413.0,7.66,17.12,5514.0,16006.0,7002.0,1895.0,356.0,30773.0,8835.0,13909.0,10110.0,3925.0,50.0,36829.0,14349.0,29915.0,17112.0,5820.0,406.0,67601.0,155.3,-198.9,118.4,-79.2,4.1,-0.3,158.3,-204.1,113.5,-72.2,3.8,-0.7,3.0,-5.2,-4.9,7.1,-0.3,-0.4,0.9,-6.8,-14.4,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,45758.0,47824.0,41563.0,16750.0,2432.0,154327.0,1203.0,0.0,33.0,0.0,29.0,1265.0,953.0,1115.0,906.0,356.0,40.0,3370.0,115.0,32.0,76.0,30.0,9.0,261.0,12.0,22.0,45.0,,,79.0,19.47,20.77,74.22,0.85,0.04,115.0,15.3,0.6,0.0,0.0,0.3,16.2,46725.0,54798.0,43199.0,18320.0,2480.0,159434.0,0.087,0.5,4.09,17.79,22.37,62.3,15.32,2642.0,99.0,261.0,85.0,116.0,258.0,3461.0,7.46,17.46,5514.0,15046.0,7002.0,1895.0,381.0,29838.0,10510.0,13909.0,10200.0,4845.0,50.0,39514.0,16024.0,28955.0,17202.0,6740.0,431.0,69351.0,167.1,-196.4,98.3,-74.0,5.0,0.0,169.5,-199.1,92.0,-68.5,3.5,-2.6,2.4,-2.7,-6.2,5.5,-1.5,-2.6,1.7,-7.1,-14.5,1.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,46268.0,47440.0,41363.0,17169.0,2439.0,154679.0,1371.0,0.0,0.0,342.0,35.0,1748.0,966.0,1118.0,921.0,359.0,42.0,3407.0,110.0,29.0,71.0,25.0,8.0,242.0,9.0,17.0,64.0,,,90.0,12.46,18.91,75.84,0.64,0.04,108.0,19.8,0.1,0.0,1.0,0.2,21.1,46849.0,54622.0,43721.0,18126.0,2428.0,160844.0,0.085,0.63,3.65,17.96,22.23,65.72,12.05,2663.0,96.0,242.0,87.0,130.0,267.0,3484.0,7.65,17.1,6014.0,15406.0,6802.0,2090.0,356.0,30668.0,10050.0,12999.0,9730.0,4635.0,50.0,37464.0,16064.0,28405.0,16532.0,6725.0,406.0,68131.0,179.5,-214.3,98.0,-67.3,3.8,-0.2,187.0,-215.4,89.2,-66.0,4.0,-1.1,7.5,-1.1,-8.8,1.3,0.2,-0.9,1.6,-6.9,-11.7,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-05,45471.0,47876.0,40840.0,18197.0,2407.0,154791.0,961.0,0.0,0.0,120.0,35.0,1116.0,941.0,1120.0,909.0,358.0,44.0,3371.0,107.0,30.0,73.0,21.0,8.0,238.0,12.0,21.0,50.0,,,83.0,16.78,19.48,72.99,0.82,0.05,110.0,11.2,0.4,0.0,0.4,0.2,12.1,45689.0,55159.0,43210.0,18786.0,2469.0,158702.0,0.049,0.0,0.94,6.11,7.05,68.45,24.5,2646.0,97.0,238.0,87.0,123.0,262.0,3454.0,7.59,17.02,4673.0,16531.0,7302.0,1895.0,406.0,30807.0,9550.0,13342.0,9730.0,4675.0,50.0,37347.0,14223.0,29873.0,17032.0,6570.0,456.0,68153.0,182.4,-195.8,77.1,-66.9,3.3,0.0,183.7,-206.3,75.1,-61.0,5.3,-3.3,1.3,-10.5,-2.1,5.9,2.1,-3.3,0.9,-6.8,-12.1,1.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-06,43666.0,45357.0,37943.0,17583.0,2338.0,146887.0,568.0,0.0,0.0,108.0,27.0,703.0,903.0,1090.0,870.0,352.0,41.0,3256.0,107.0,22.0,67.0,21.0,7.0,224.0,22.0,59.0,45.0,,,125.0,16.85,20.2,71.06,0.87,0.05,109.0,11.7,0.2,0.0,0.3,0.1,12.3,44617.0,54697.0,41039.0,17990.0,2389.0,153908.0,0.037,0.0,0.0,4.42,4.42,67.42,28.16,2513.0,92.0,224.0,87.0,119.0,300.0,3336.0,9.0,18.35,3826.0,17141.0,7302.0,1895.0,638.0,30802.0,9550.0,14094.0,9570.0,4675.0,50.0,37939.0,13376.0,31235.0,16872.0,6570.0,688.0,68740.0,150.7,-167.6,74.9,-61.5,3.4,0.0,150.6,-175.5,72.1,-53.3,4.8,-1.3,-0.1,-7.9,-2.8,8.2,1.4,-1.3,2.3,-6.6,-13.9,1.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,46311.0,47989.0,40766.0,16733.0,2392.0,154191.0,516.0,193.0,0.0,106.0,42.0,857.0,935.0,1104.0,907.0,351.0,41.0,3338.0,110.0,22.0,80.0,31.0,8.0,251.0,14.0,66.0,37.0,,,117.0,20.31,20.0,70.81,0.74,0.05,112.0,12.6,0.6,0.0,0.3,0.4,13.9,46454.0,54373.0,43492.0,17321.0,2431.0,157482.0,0.04,0.0,0.54,6.77,7.31,71.25,21.44,2593.0,92.0,251.0,87.0,117.0,300.0,3440.0,8.71,18.54,3826.0,16481.0,6802.0,1370.0,688.0,29167.0,9550.0,12974.0,10540.0,4965.0,50.0,38079.0,13376.0,29455.0,17342.0,6335.0,738.0,67245.0,158.1,-186.9,84.6,-63.8,7.8,-0.3,153.8,-189.3,81.6,-57.1,8.5,-2.5,-4.3,-2.4,-3.0,6.6,0.8,-2.3,1.7,-7.0,-13.9,1.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-08,47177.0,48795.0,40517.0,17963.0,2357.0,156809.0,584.0,0.0,0.0,0.0,27.0,611.0,969.0,1118.0,916.0,349.0,41.0,3393.0,109.0,24.0,76.0,26.0,8.0,242.0,8.0,38.0,29.0,,,75.0,20.86,20.55,74.14,0.86,0.02,116.0,9.7,0.9,0.0,0.0,0.6,11.2,47631.0,56107.0,43074.0,18067.0,2407.0,160052.0,0.038,0.0,0.05,6.46,6.5,74.31,19.19,2683.0,91.0,242.0,87.0,129.0,261.0,3493.0,7.48,16.91,4415.0,17081.0,7552.0,1370.0,463.0,30881.0,8890.0,13936.0,9940.0,5175.0,50.0,37991.0,13305.0,31017.0,17492.0,6545.0,513.0,68872.0,161.1,-197.6,100.6,-71.0,6.6,-0.3,155.7,-202.3,110.8,-69.3,7.1,2.0,-5.3,-4.7,10.3,1.6,0.5,2.3,1.7,-7.0,-14.0,1.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-09,46734.0,48343.0,40753.0,17741.0,2319.0,155890.0,727.0,0.0,0.0,100.0,95.0,922.0,973.0,1118.0,911.0,343.0,41.0,3386.0,110.0,30.0,73.0,28.0,8.0,249.0,5.0,34.0,30.0,,,69.0,20.45,20.0,74.37,0.86,0.04,116.0,14.6,0.1,0.0,0.3,0.8,15.8,46221.0,55329.0,42830.0,18202.0,2342.0,160471.0,0.043,0.0,0.57,11.26,11.83,75.79,12.38,2669.0,96.0,249.0,86.0,130.0,256.0,3487.0,7.33,16.96,3730.0,17311.0,8052.0,1370.0,206.0,30669.0,9390.0,14106.0,10400.0,5175.0,50.0,39121.0,13120.0,31417.0,18452.0,6545.0,256.0,69789.0,148.8,-191.7,115.7,-76.4,3.6,-0.1,152.2,-197.7,112.6,-71.6,3.7,-0.8,3.4,-5.9,-3.1,4.8,0.1,-0.7,1.7,-6.9,-13.8,1.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
