Feature,Importance
lag_24,0.66902304
lag_1,0.17840801
lag_48,0.04105735
hour,0.017126402
lag_168,0.012713761
temp_imphal,0.007574249
lag_3,0.0074841385
lag_12,0.0072301547
rolling_max_24,0.0067153326
temp_shillong,0.005532572
rolling_min_24,0.0048160874
temp_guwahati,0.0047171665
temperature_avg,0.0046080793
rolling_mean_6,0.0036372393
day_of_week,0.0034751403
is_weekend,0.0033669586
temp_agartala,0.0032127115
lag_6,0.0028235405
rolling_mean_24,0.0025630412
cloud_cover_avg,0.0021542066
humidity_avg,0.0017801787
gen_hydro_mu,0.0016596379
wind_speed_avg,0.0014016953
month,0.0012532106
rolling_std_24,0.0011872466
gen_total_mu,0.00090954715
share_nonfossil_pct,0.0008840622
gen_coal_mu,0.00084922375
gen_res_mu,0.00081658456
day,0.0005630151
share_res_pct,0.00045654897
