Feature,Importance
lag_1,0.7904221
lag_24,0.14010012
lag_3,0.008895092
lag_168,0.007955756
hour,0.007419544
day_of_week,0.0064833197
is_weekend,0.0052775773
lag_48,0.004371902
rolling_max_24,0.003889769
rolling_mean_6,0.0033707055
rolling_min_24,0.002908281
temp_bengaluru,0.0025323608
temperature_avg,0.002357046
month,0.0016888413
rolling_mean_24,0.0015426049
lag_12,0.0013128913
temp_hyderabad,0.0011027307
lag_6,0.0010435786
gen_coal_mu,0.0008221094
cloud_cover_avg,0.00080059626
gen_total_mu,0.0007621261
temp_chennai,0.00073972467
gen_hydro_mu,0.0005801702
share_nonfossil_pct,0.0005768123
gen_res_mu,0.0005501243
day,0.00049393164
humidity_avg,0.000460336
rolling_std_24,0.0004093979
wind_speed_avg,0.00040197797
temp_kochi,0.0003889531
share_res_pct,0.00033946164
