Feature,Importance
rolling_min_24,0.020582216744330542
rolling_mean_24,0.02051153301860592
lag_6,0.01723158692827348
lag_12,0.013121087734201689
lag_3,0.009647508278245287
gen_hydro_mu,0.009370553097616502
lag_1,0.00901786958613978
rolling_mean_6,0.008264392038711564
rolling_max_24,0.007745396056365962
hour,0.00687982527480599
temperature_avg,0.0017925077247654755
gen_res_mu,0.0006921961992703077
temp_ranchi,0.0006478010611055129
humidity_avg,0.0005433735589568944
day_of_week,0.0002617279466795297
temp_kolkata,0.00020779652229653556
day,6.95058254588446e-05
temp_patna,7.707345977644997e-06
share_res_pct,-1.2598905158728302e-06
is_weekend,-6.0435720285127725e-05
rolling_std_24,-8.128061251858054e-05
gen_total_mu,-9.622576820315226e-05
lag_168,-0.00026119526301324886
lag_24,-0.00028162711318342054
share_nonfossil_pct,-0.0005565941333770738
wind_speed_avg,-0.000575468989122932
month,-0.0006615443704063098
gen_coal_mu,-0.0007481140636217479
temp_bhubaneswar,-0.0013444293379720543
cloud_cover_avg,-0.0014672905740711964
lag_48,-0.002622635734066077
