Feature,Importance
lag_12,0.015621357011559749
rolling_min_24,0.012721040432449059
hour,0.012001392720918207
rolling_mean_24,0.011957853107119581
gen_hydro_mu,0.009274053162091393
rolling_mean_6,0.008080608860413653
lag_6,0.00756791876074419
humidity_avg,0.005683731879861098
lag_1,0.00455908467179806
lag_3,0.004254902046158103
rolling_max_24,0.0021977152806996816
lag_24,0.0019807408489659548
lag_168,0.001638824170768341
temp_imphal,0.0015335972992662622
temp_guwahati,0.0013838113630162338
temp_shillong,0.0010801061866861014
gen_res_mu,0.0009692250944443453
rolling_std_24,0.0007172932192188106
gen_total_mu,0.0006593872907533285
day_of_week,0.0006090531638473645
is_weekend,0.0004775052898278731
wind_speed_avg,0.00045197593463187913
month,0.00037779118117063637
share_res_pct,1.0478422045712144e-05
day,-1.927914394116159e-05
gen_coal_mu,-6.495230015857861e-05
cloud_cover_avg,-0.0001396899011199687
share_nonfossil_pct,-0.00022517271064170785
temp_agartala,-0.0002969337030823069
temperature_avg,-0.00035825157462852225
lag_48,-0.0005041288517109235
