Feature,Importance
rolling_min_24,0.03307170064398966
hour,0.020449772523076483
lag_12,0.01924083156367762
rolling_max_24,0.01544011381732529
lag_1,0.010512353050423626
lag_3,0.008991999910703964
lag_6,0.008664927820038915
rolling_mean_24,0.008241957379651298
rolling_mean_6,0.006410268512416724
gen_hydro_mu,0.006001030298143646
gen_total_mu,0.003676301420690198
temperature_avg,0.0035898060205622473
temp_lucknow,0.00313410353032504
gen_res_mu,0.0024977995000312475
month,0.0013473326818006504
lag_48,0.0012617784982673769
humidity_avg,0.0010994178247700354
rolling_std_24,0.0010100284885660449
temp_chandigarh,0.0009302985730545305
is_weekend,0.0007195383198195515
lag_168,0.0005978185285809984
temp_jaipur,0.00031048515712595037
day_of_week,0.0002728711611488799
lag_24,9.619625747185612e-05
share_res_pct,2.299216788786973e-05
day,-0.00012905073236786635
gen_coal_mu,-0.00024281820391537645
wind_speed_avg,-0.00033317036116262133
temp_delhi,-0.0005706540086732811
cloud_cover_avg,-0.0006967776291656944
share_nonfossil_pct,-0.0007613725471096178
