Feature,Importance
hour,0.043931551798099745
rolling_mean_24,0.011971426680593485
rolling_min_24,0.00996744483074019
lag_12,0.009894825780656043
day_of_week,0.004329473370834835
rolling_max_24,0.003925342462466841
temp_bengaluru,0.002751862078978408
lag_3,0.0027478366223288864
month,0.002323947055720109
lag_24,0.002044653246303346
is_weekend,0.0019144071720474803
lag_1,0.0018456614647292119
rolling_std_24,0.0018135918200167939
temperature_avg,0.0010780705660310488
wind_speed_avg,0.0008665707775234038
cloud_cover_avg,0.0007727261893065093
lag_6,0.0007213193039103324
temp_chennai,0.0006794354981782755
gen_total_mu,0.0005085469337969897
gen_hydro_mu,0.00046739985680454427
gen_res_mu,0.0001937858392109179
share_nonfossil_pct,0.00016895921803063152
gen_coal_mu,0.0001613357355338338
share_res_pct,8.524918522329061e-05
day,-0.00037981114997891197
rolling_mean_6,-0.00077999546939643
temp_kochi,-0.0008784716482173119
humidity_avg,-0.0009232685945998811
lag_168,-0.000947469959277629
temp_hyderabad,-0.0010409666442032228
lag_48,-0.0012517453882889273
