Feature,Importance
hour,0.018426815555928393
lag_12,0.01092635974444419
rolling_min_24,0.010416803870727548
rolling_max_24,0.007226644896424911
rolling_mean_24,0.004734218246596603
lag_1,0.0044732103227254
humidity_avg,0.004414934037319407
temp_pune,0.002619465497866888
cloud_cover_avg,0.0025459767924860405
day_of_week,0.0023477243377972926
rolling_mean_6,0.002178390595483047
lag_48,0.001967738699371044
rolling_std_24,0.0016596383302962328
gen_coal_mu,0.0015378632368027792
share_nonfossil_pct,0.0015022753020738078
wind_speed_avg,0.0011521066501095356
lag_24,0.0009999548427366833
temp_surat,0.0009637727727030143
lag_168,0.000859623711386967
temp_mumbai,0.0008595766806808111
temp_ahmedabad,0.0004584984381255583
day,0.0002734768086765024
gen_total_mu,0.00020519010726771647
lag_6,-3.8266350862681264e-05
share_res_pct,-4.7983811623263095e-05
gen_hydro_mu,-8.869862726739591e-05
lag_3,-0.0001913948980429847
is_weekend,-0.00021020063266202066
gen_res_mu,-0.00023311819542516654
month,-0.0008615420819046982
temperature_avg,-0.000960854005095102
