Feature,Importance
lag_1,0.7827411
lag_24,0.13578677
rolling_mean_6,0.019958135
lag_48,0.0069397925
is_weekend,0.0062139
hour,0.0047104536
lag_168,0.004080933
day_of_week,0.0038617856
lag_3,0.0038083012
temp_lucknow,0.0035367054
rolling_min_24,0.0029577364
rolling_max_24,0.0023874922
temp_delhi,0.0021666505
temp_jaipur,0.001963337
rolling_mean_24,0.0019613253
temperature_avg,0.0018778683
temp_chandigarh,0.0017736624
gen_hydro_mu,0.0015605827
cloud_cover_avg,0.0014280458
lag_12,0.0012762801
gen_total_mu,0.0011956975
rolling_std_24,0.0011334986
month,0.0011176603
gen_coal_mu,0.0010467257
lag_6,0.0009455251
wind_speed_avg,0.00093201397
share_nonfossil_pct,0.0007296262
gen_res_mu,0.0005842666
humidity_avg,0.0005571645
day,0.0004021945
share_res_pct,0.0003646693
