Feature,Importance
lag_1,0.82170236
lag_24,0.11789959
rolling_mean_6,0.0065209516
lag_168,0.005256345
lag_3,0.004942856
lag_48,0.0047533778
hour,0.0043199635
temp_pune,0.004220868
day_of_week,0.00390998
temperature_avg,0.0032463162
is_weekend,0.0031754063
rolling_max_24,0.002828143
temp_ahmedabad,0.0027487678
rolling_min_24,0.001694976
gen_total_mu,0.0013253584
month,0.0013178153
gen_coal_mu,0.0011496643
gen_hydro_mu,0.0011098087
temp_surat,0.0010778429
rolling_mean_24,0.0010324651
lag_6,0.000910424
cloud_cover_avg,0.0006617949
rolling_std_24,0.0006394383
temp_mumbai,0.0005734178
lag_12,0.0004893176
day,0.0004696513
humidity_avg,0.0004647484
share_nonfossil_pct,0.00045248537
gen_res_mu,0.00041401075
wind_speed_avg,0.0004021078
share_res_pct,0.00028971347
